invoice_id,customer_id,subscription_id,issue_date,due_date,subtotal,tax,total,paid_amount,payment_status,paid_date,payment_method,currency
INV-01997,CUST-0495,SUB-00711,10-Apr-2025,2025-05-10T00:00:00,USD 138.12,USD 24.86,USD 162.98,USD 162.98,paid,2025/05/09,Credit Card,AED
INV-01033,CUST-0402,SUB-00075,21/06/2022,07-21-2022,USD 311.39,USD 24.91,USD 336.30,USD 336.30,paid,2022/07/19,Credit Card,USD
INV-01154,CUST-0114,SUB-00231,04/03/2023 00:00,05-03-2023,$197.82,$0.00,$197.82,0.00,UNPAID,,paypal,GBP
INV-02877,CUST-0131,SUB-00277,09/12/2024 00:00,10-12-2024,$ 826.53,$ 41.33,$ 867.86,$ 867.86,paid,01/11/2024,wire,USD
INV-02233,CUST-0039,SUB-00245,2023/03/08,03/23/2023 00:00,$49.43,$4.94,$54.37,$22.61,partial,2023-04-12T00:00:00,Credit Card,USD
INV-01161,CUST-0048,SUB-09754,27/07/2025,2025-08-11,$ 432.49,$ 43.25,$ 475.74,$ 475.74,paid,"Sep 25, 2025",paypal,GBP
INV-02986,CUST-0457,SUB-00080,2025-09-14T00:00:00,2025-09-29,$1120.11,$145.61,$1265.72,$1265.72,paid,2025-11-28,,USD
INV-02782,CUST-0381,SUB-00192,"Jul 01, 2025",2025/07/31,$ 1158.20,$ 115.82,$ 1274.02,$ 1274.02,paid,07-31-2025,Credit Card,EUR
INV-00456,CUST-0344,SUB-00263,2025-05-09T00:00:00,07-08-2025,AED 789.27,AED 39.46,AED 828.73,AED 828.73,paid,2025/07/09,paypal,AED
INV-00237,CUST-0163,SUB-00762,"Sep 17, 2025","Nov 01, 2025",$974.95,$48.75,$1023.70,$1023.70,paid,02/11/2025,PAYPAL,AED
INV-00495,CUST-0249,SUB-00281,2025/07/15,"Jul 30, 2025",$ 32.99,$ 1.65,$ 34.64,$ 34.64,paid,2025/10/28,Credit Card,AED
INV-02713,CUST-0090,SUB-00487,09-09-2022,10/09/2022 00:00,AED 1138.81,AED 227.76,AED 1366.57,,overdue,N/A,credit_card,EUR
INV-01386,CUST-0090,SUB-00024,2025/12/14,2026-01-13,$ 1074.77,$ 193.46,$ 1268.23,$ 628.22,partial,02-08-2026,Credit Card,USD
INV-02525,CUST-0350,SUB-09382,2024/11/04,12-04-2024,$405.57,$20.28,$425.85,,overdue,,paypal,AED
INV-00424,CUST-0161,SUB-00691,05/01/2023 00:00,31-May-2023,$297.51,$14.88,$312.39,$312.39,paid,2023/06/01,paypal,AED
INV-00151,CUST-0074,SUB-00285,"Aug 24, 2023",08-Sep-2023,$1197.77,$95.82,$1293.59,$1293.59,paid,23-Sep-2023,paypal,AED
INV-00515,CUST-0364,SUB-00419,14/08/2025,2025/09/13,$577.42,$46.19,$623.61,$623.61,paid,09/28/2025 00:00,paypal,USD
INV-00884,CUST-0335,SUB-00229,04-16-2024,05-31-2024,$160.99,$16.10,$177.09,$177.09,paid,06/20/2024 00:00,PAYPAL,EUR
INV-02321,CUST-0212,SUB-00540,2022-11-28,"Dec 28, 2022",$173.54,$8.68,$182.22,$182.22,paid,2022/12/28,paypal,AED
INV-00443,CUST-0057,SUB-00460,2022-12-22,2023-01-21T00:00:00,$267.61,$0.00,$267.61,0.00,Overdue,null,paypal,USD
INV-00473,CUST-0486,SUB-00543,2023-01-01T00:00:00,31-Jan-2023,$144.69,$38.89,$163.50,$163.50,paid,02-Mar-2023,wire,USD
INV-00532,CUST-0429,SUB-00371,26-Nov-2022,26-Dec-2022,EUR 865.82,EUR 155.85,EUR 1021.67,EUR 1021.67,paid,02/09/2023 00:00,credit_card,AED
INV-02149,CUST-0297,SUB-00110,2025-03-25T00:00:00,"Apr 24, 2025",AED 271.21,AED 13.56,AED 284.77,AED 284.77,paid,09/05/2025,,GBP
INV-02721,CUST-0203,SUB-00004,12/08/2022 00:00,"Jan 07, 2023",$142.97,$18.59,$161.56,$161.56,paid,2023-02-06,Credit Card,USD
INV-02097,CUST-0363,SUB-00071,26-Jan-2023,2023/02/10,285.13,22.81,307.94,307.94,paid,11-May-2023,Credit Card,EUR
INV-00821,CUST-0331,SUB-00387,2023-12-30,2024-01-29T00:00:00,USD 135.37,USD 24.37,USD 159.74,,Overdue,N/A,bank_transfer,EUR
INV-00578,CUST-0090,SUB-00374,2024/06/15,"Jul 15, 2024",$200.20,$57.87,$240.24,$240.24,paid,"Jul 20, 2024",bank_transfer,EUR
INV-00785,CUST-0387,SUB-00575,18/11/2023,01-17-2024,$1139.06,$91.12,$1230.18,$1230.18,paid,2024/01/27,PAYPAL,USD
INV-01482,CUST-0008,SUB-00534,18-Apr-2025,02/06/2025,$ 456.94,$ 36.56,$ 493.50,$ 493.50,paid,06-07-2025,paypal,EUR
INV-02259,CUST-0482,SUB-00514,04/10/2023 00:00,2023-05-10T00:00:00,$637.80,$82.91,$720.71,$720.71,paid,05/11/2023 00:00,bank_transfer,USD
INV-01296,CUST-0067,SUB-00220,04-04-2025,04/19/2025 00:00,$273.32,$54.66,$327.98,$327.98,paid,2025/07/18,wire,USD
INV-02405,CUST-0234,SUB-00575,2023-01-12,27-Jan-2023,498.41,39.87,538.28,538.28,paid,02/01/2023 00:00,credit_card,USD
INV-02245,CUST-0261,SUB-00565,11/22/2023 00:00,22/12/2023,824.37,0.00,824.37,824.37,paid,2023/12/27,paypal,USD
INV-01343,CUST-0048,SUB-09690,2022-08-12T00:00:00,2022-09-26,$1007.93,$131.03,$1138.96,$0.00,Overdue,,bank_transfer,AED
