usage_id,customer_id,feature_name,session_date,session_duration_seconds,usage_count,device,session_id
USG-008226,CUST-0213,sandbox,07-22-2024,5502,127,MOBILE,SES-467409
USG-006508,CUST-0472,dashboard,03-Nov-2025,921,45,MOBILE,SES-634317
USG-005797,CUST-0317,custom_reports,05/11/2025 00:00,921,27,desktop,SES-784576
USG-005873,CUST-0049,analytics,"May 28, 2025",2170,175,api,SES-926991
USG-005053,CUST-0406,analytics,2025/07/02,5656,123,web,SES-153593
USG-001563,CUST-0299,dashboard,2024-03-25T00:00:00,980,27,API,SES-656106
USG-000064,CUST-0329,sandbox,02/28/2025 00:00,4101,40,Desktop,SES-258231
USG-003943,CUST-0098,anaytics,2024/05/09,1682,98,Web,SES-953889
USG-000542,CUST-0092,bulk_export,2025/07/12,897,126,,SES-328778
USG-004197,CUST-0353,api_access,12/17/2025 00:00,3036,94,Web,SES-437089
USG-000634,CUST-0013,white_label,13/09/2024,4179,77,,SES-865090
USG-005768,CUST-0080,custom_reports,2024/04/01,301,79,Desktop,SES-284924
USG-004228,CUST-0296,automations,2025-04-13,2334,54,Web,SES-302881
USG-007094,CUST-0380,bulk_export,01-Aug-2024,4467,148,API,SES-441639
USG-000527,CUST-0484,advanced_search,16/03/2024,2858,46,desktop,SES-180237
USG-004474,CUST-0390,advanced_search,07/19/2024 00:00,347,40,,SES-793648
USG-005187,CUST-0481,api_access,2024/10/10,2582,160,api,SES-113600
USG-003056,CUST-0231,api_access,2024/07/15,440,150,API,SES-663588
USG-001872,CUST-0192,audit_log,04-26-2024,1705,145,desktop,SES-524261
USG-006444,CUST-0487,webhooks,08/06/2024,6588,147,Desktop,SES-522523
USG-007560,CUST-0075,custom_reports,2024/03/13,6041,107,Web,SES-901138
USG-009216,CUST-0278,api_acess,24/09/2025,5629,36,Desktop,SES-446237
USG-000662,CUST-0314,alerts,2024/03/08,865,106,web,SES-432806
USG-009404,CUST-0369,webhooks,2024/05/09,2388,164,desktop,SES-485341
USG-008033,CUST-0166,audit_log,2025-12-07,5283,169,Desktop,SES-554772
USG-003653,CUST-0060,data_pipeline,2025/10/09,3153,135,Web,SES-799427
USG-009117,CUST-0088,custom_reports,06-06-2025,6668,127,Desktop,SES-327611
USG-007190,CUST-0177,team_management,2025-10-20,587,16,MOBILE,SES-337676
USG-000801,CUST-0093,automations,2024-09-23T00:00:00,3661,131,desktop,SES-562322
USG-007587,CUST-0147,team_management,12-12-2024,4522,48,mobile,SES-777679
USG-002163,CUST-0244,api_acess,2024-04-23T00:00:00,6957,99,,SES-623522
USG-003967,CUST-0102,api_access,2025/03/30,2609,121,mobile,SES-352286
USG-009797,CUST-0204,dashboard,"Apr 20, 2025",6648,122,api,SES-507754
USG-003567,CUST-0066,audit_log,2025-11-16T00:00:00,2314,114,MOBILE,SES-451485
USG-006932,CUST-0248,advanceed_search,10-Dec-2024,2179,197,MOBILE,SES-507803
USG-008472,CUST-0130,sso,2025-12-28T00:00:00,731,68,MOBILE,SES-818321
USG-001808,CUST-0160,alerts,09-May-2025,6967,115,desktop,SES-255458
USG-004074,,dashboard,18-Sep-2024,794,173,,SES-780277
USG-003794,CUST-0185,audit_log,2025-09-25,3383,103,,SES-622189
USG-008003,CUST-0004,alerts,"Mar 05, 2025",4544,189,desktop,SES-546422
USG-003231,CUST-0303,sandbox,2024-06-19,4499,28,web,SES-159724
USG-004119,CUST-0147,api_access,04/30/2024 00:00,6507,50,api,SES-237319
USG-007608,CUST-0369,api_access,2024/08/25,3773,138,api,SES-189958
USG-000233,CUST-0487,alerts,2024/04/07,7185,11,MOBILE,SES-978369
USG-000926,CUST-0112,team_management,11/09/2024,566,52,api,SES-601951
USG-008061,CUST-0071,data_pipeline,2024-05-24T00:00:00,1074,164,API,SES-917443
USG-009506,CUST-0457,alerts,"Feb 24, 2025",6675,37,Desktop,SES-291411
USG-000954,CUST-0459,webhooks,10/28/2024 00:00,2596,189,API,SES-952936
USG-007249,CUST-0098,data_pipeline,2025-01-11,2109,66,desktop,SES-997915
USG-004222,CUST-0467,webhooks,2025-06-13,6666,119,mobile,SES-177273
USG-001890,CUST-0301,alerts,17/03/2025,2508,87,Desktop,SES-308170
USG-003097,,data_pipeline,2024/09/23,6607,152,api,SES-801668
USG-007264,CUST-0442,automations,2025-01-04,5268,128,web,SES-803776
USG-003260,CUST-0186,sso,09-04-2025,6714,150,API,SES-593429
USG-005314,CUST-0310,webhooks,09-23-2025,1074,193,MOBILE,SES-120786
USG-008180,CUST-0092,alerts,07-09-2024,1468,72,api,SES-370573
USG-000642,CUST-0076,bulk_export,2024-10-12,6685,152,MOBILE,SES-442750
USG-003055,CUST-0262,sandbox,2025-02-22,3059,7,api,SES-513304
USG-000352,CUST-0004,integrations,2024/12/25,3515,141,desktop,SES-934970
USG-004553,CUST-0362,team_management,12-Jul-2024,4632,130,API,SES-283336
USG-001348,CUST-0196,custom_reports,2024/08/22,1663,194,API,SES-942378
USG-002455,CUST-0069,white_label,02/01/2025 00:00,2514,153,,SES-215842
USG-003976,CUST-0288,white_label,2024/06/20,868,99,MOBILE,SES-709720
USG-002971,CUST-0354,custom_reports,02/10/2024,689,35,desktop,SES-521574
USG-000314,CUST-0226,team_managment,02/01/2025 00:00,2600,173,,SES-100508
USG-002105,CUST-0046,dashboard,2024-06-14T00:00:00,1925,118,web,SES-963259
USG-008708,,custom_reports,2025/05/15,5935,15,api,SES-244843
USG-002117,CUST-0009,automations,"Aug 23, 2025",3515,21,mobile,SES-606167
USG-000649,CUST-0462,integrations,26-Jul-2025,6408,64,,SES-775740
USG-009340,CUST-0014,white_label,26-Jul-2025,2985,33,Web,SES-462453
USG-001352,CUST-0471,advanceed_search,"Aug 01, 2024",3444,176,MOBILE,SES-701197
USG-008568,CUST-0261,team_management,10-14-2024,744,5,Desktop,SES-474217
USG-006178,CUST-0073,white_label,06-23-2025,1347,122,web,SES-875334
USG-009673,CUST-0264,team_management,04-Sep-2024,1507,114,desktop,SES-677071
USG-001798,CUST-0078,webhooks,2025-05-01T00:00:00,6789,172,api,SES-720499
USG-005724,CUST-0213,custom_reports,"Apr 13, 2024",2764,163,,SES-467452
USG-007239,CUST-0330,integrations,11/11/2025 00:00,293,143,desktop,SES-197209
USG-000675,CUST-0081,white_label,08/07/2024,6535,23,MOBILE,SES-987617
USG-005926,CUST-0233,integrations,2024-06-19T00:00:00,2370,39,api,SES-741523
USG-002127,CUST-0060,integrations,03/15/2025 00:00,1902,64,API,SES-391723
USG-007360,CUST-0006,sandbox,06-18-2024,2753,81088,,SES-976949
USG-001490,CUST-0492,white_label,2024-07-15T00:00:00,5112,66,desktop,SES-496111
USG-002196,CUST-0225,sandbox,26/08/2025,4609,142,web,SES-796659
USG-008269,CUST-0373,white_label,11/03/2024,5296,156,,SES-898446
USG-006833,CUST-0412,data_pipeline,2025-06-12T00:00:00,6846,99,,SES-795812
USG-007951,CUST-0023,api_access,2025-05-21,3270,82,Desktop,SES-292152
USG-001260,CUST-0057,white_label,29/05/2024,5100,168,Desktop,SES-362355
USG-006349,CUST-0327,advanced_search,"Oct 28, 2024",2291,165,api,SES-702107
USG-002201,CUST-0436,automations,28-Aug-2024,5923,53,Web,SES-886115
USG-008885,CUST-0071,sso,22/05/2024,4165,200,API,SES-480980
USG-007028,CUST-0022,sso,"Sep 05, 2024",5225,55,api,SES-398299
USG-009819,CUST-0302,white_label,"May 16, 2025",3634,160,MOBILE,SES-972687
USG-006014,CUST-0247,sso,2025/03/29,5872,185,Web,SES-399168
USG-008647,CUST-0270,sso,12/11/2024,4646,62,web,SES-638719
USG-003700,CUST-0194,team_management,2024-03-31T00:00:00,6803,70,mobile,SES-341601
USG-008224,CUST-0069,analytics,2025-02-03,5356,161,mobile,SES-173976
USG-009532,CUST-0489,automations,02-24-2024,3447,51385,API,SES-980982
USG-005030,CUST-0120,audit_log,2025/04/18,1574,25,Desktop,SES-112704
USG-007721,CUST-0468,dashboard,30/12/2024,4980,163,MOBILE,SES-827839
USG-002544,CUST-0058,bulk_export,2025-09-24,3757,129,web,SES-449224
USG-000783,CUST-0138,webhooks,2025-05-16,6926,151,web,SES-597292
USG-003831,CUST-0201,sso,19-May-2025,4654,102,API,SES-893186
USG-000102,CUST-0292,white_label,2025-02-05,2100,68906,Web,SES-464720
USG-000242,CUST-0385,sso,2025-01-19T00:00:00,6627,132,api,SES-835762
USG-003923,CUST-0184,data_pipeline,2025/12/19,2369,3,Web,SES-691362
USG-005307,CUST-0238,sso,2024/03/16,5905,78,web,SES-620898
USG-008541,CUST-0123,sandbox,21/06/2025,5042,108,MOBILE,SES-524441
USG-006085,CUST-0453,white_label,2025-08-13,4346,103,mobile,SES-554474
USG-009803,CUST-0150,bulk_export,2024-08-14,974,36,,SES-629302
USG-008906,CUST-0374,data_pipeline,"Mar 13, 2025",3200,23,,SES-474919
USG-007076,CUST-0146,alerts,2025-07-22,1494,23,API,SES-421597
USG-004739,CUST-0151,analytics,2024-03-19T00:00:00,2881,97,web,SES-481965
USG-003770,CUST-0330,advanced_search,"Mar 05, 2024",4177,65,desktop,SES-440056
USG-003407,CUST-0387,api_access,"Sep 22, 2025",5718,138,desktop,SES-781644
USG-006059,CUST-0412,bulk_exprot,02/05/2025 00:00,6711,194,Desktop,SES-508636
USG-006245,CUST-0495,api_access,18-Dec-2025,108,108,mobile,SES-573484
USG-003499,CUST-0132,integrations,2025-08-14T00:00:00,2581,103,Desktop,SES-263407
USG-008963,CUST-0261,data_pipeline,2024-01-10,4753,100,MOBILE,SES-519983
USG-005021,CUST-0375,advanced_search,14/04/2025,1694,87,API,SES-276720
USG-008591,CUST-0273,automations,08/02/2024 00:00,2075,38,api,SES-889609
USG-003489,CUST-0096,webhooks,04/01/2025,5065,154,,SES-382921
USG-007445,CUST-0471,white_label,09/04/2025,4254,70,desktop,SES-580801
USG-004465,CUST-0076,white_label,07-28-2024,5526,91,mobile,SES-131055
USG-008245,CUST-0001,api_access,13-Oct-2024,4703,25,mobile,SES-771526
USG-009971,CUST-0154,advanced_search,20-Feb-2025,4167,5,api,SES-350684
USG-009834,CUST-0351,automations,06-Sep-2024,3996,156,desktop,SES-720278
USG-009847,CUST-0122,automations,2024-09-28T00:00:00,4113,154,Web,SES-747781
